mname,avg_distance_2000,avg_distance_2019,max_distance_2000,max_distance_2019,num_above_100,num_above_75,num_above_50
Ale kommun,23.89261303890641,23.89261303890641,35,35,0,0,0
Alingsås kommun,32.23777557403311,32.23777557403311,39,39,0,0,0
Älmhults kommun,32.547719385225584,51.106036192364904,49,64,0,0,11811
Älvdalens kommun,65.60312944523471,132.40241820768136,169,202,6855,7030,7030
Alvesta kommun,19.075284090909093,19.10947646103896,39,39,0,0,0
Älvkarleby kommun,18.303249866808734,18.303249866808734,27,27,0,0,0
Älvsbyns kommun,45.73880505459452,46.13421666053245,80,80,0,28,1523
Åmåls kommun,57.416903409090914,58.26325757575757,72,73,0,0,12611
Aneby kommun,23.005848853316916,23.005848853316916,35,35,0,0,0
Ånge kommun,72.7617435463394,72.7617435463394,104,104,13,4883,8586
Ängelholms kommun,25.590260223048325,25.590260223048325,43,43,0,0,0
Arboga kommun,35.64484311343006,35.64484311343006,41,41,0,0,0
Åre kommun,65.92374849075881,65.92374849075881,128,128,374,4473,8154
Årjängs kommun,81.43341503267973,81.43341503267973,100,100,0,7432,9792
Arjeplogs kommun,164.16589368533715,164.16732072779166,204,204,2803,2803,2803
Arvidsjaurs kommun,107.17998760842626,111.069083023544,147,149,5717,6455,6456
Arvika kommun,58.82107880066295,58.82107880066295,97,97,0,1171,23277
Åsele kommun,77.11071682044002,77.38218594748048,104,104,28,2387,2740
Askersunds kommun,44.3673618733992,44.415477497255765,63,63,0,0,1909
Åstorps kommun,18.329255362531605,18.329255362531605,26,26,0,0,0
Åtvidabergs kommun,29.80394218134034,29.80394218134034,47,47,0,0,0
Avesta kommun,58.097875903402084,58.097875903402084,64,64,0,0,22560
Båstads kommun,30.199916060436486,30.199916060436486,35,35,0,0,0
Bengtsfors kommun,72.16405767250258,72.27672502574666,92,92,0,4731,9695
Bergs kommun,46.61372850552216,46.61372850552216,111,111,23,1049,2268
Bjurholms kommun,55.186376932720435,55.186376932720435,71,71,0,0,2068
Bjuvs kommun,15.29021592442645,15.29021592442645,20,20,0,0,0
Bodens kommun,21.892728581713463,21.892728581713463,87,87,0,73,1267
Bollebygds kommun,21.821591427268586,21.821591427268586,27,27,0,0,0
Bollnäs kommun,7.315853242966945,54.6170156374238,38,74,0,0,20135
Borås kommun,4.605347780818384,4.605347780818384,24,24,0,0,0
Borgholms kommun,38.30017435102674,38.30017435102674,69,69,0,0,2495
Borlänge kommun,17.868950505922037,17.868950505922037,41,41,0,0,0
Botkyrka kommun,5.396720144908785,5.396720144908785,15,15,0,0,0
Boxholms kommun,40.4612540192926,40.4612540192926,50,50,0,0,0
Bräcke kommun,52.110421836228284,54.63182382133995,77,85,0,790,3929
Bromölla kommun,20.320721583652617,20.320721583652617,30,30,0,0,0
Burlövs kommun,6.800570146175775,6.800570146175775,9,9,0,0,0
Dals-Eds kommun,68.64407139821505,68.64407139821505,97,97,0,313,4706
Danderyds kommun,2.0761007589404366,2.0761007589404366,5,5,0,0,0
Degerfors kommun,10.535400938583964,45.33217710671292,34,57,0,0,665
Dorotea kommun,118.67539267015708,119.02580403889304,176,176,2672,2674,2674
Eda kommun,84.57198342827552,84.57198342827552,102,102,13,7677,7724
Ekerö kommun,12.714659343533413,12.714659343533413,26,26,0,0,0
Eksjö kommun,8.255395254560629,8.255395254560629,41,41,0,0,0
Emmaboda kommun,45.406105864265314,45.406105864265314,50,50,0,0,0
Enköpings kommun,27.496166827386695,27.496166827386695,40,40,0,0,0
Eskilstuna kommun,4.515850648214737,4.515850648214737,37,37,0,0,0
Eslövs kommun,16.720937375226512,16.720937375226512,34,34,0,0,0
Essunga kommun,30.945479641131815,30.95151828847481,43,43,0,0,0
Fagersta kommun,59.70401325201416,59.70401325201416,65,65,0,0,12935
Falkenbergs kommun,25.00271676032137,25.00271676032137,50,50,0,0,0
Falköpings kommun,32.74631286451495,32.92314269137989,47,48,0,0,0
Falu kommun,6.123254498532894,6.125216530561742,47,49,0,0,0
Färgelanda kommun,34.47009606445616,34.47009606445616,57,57,0,0,235
Filipstads kommun,50.812529395165086,57.18784686294798,92,99,0,1291,10015
Finspångs kommun,30.278388794886254,30.278388794886254,49,49,0,0,0
Flens kommun,30.300873069173942,30.300873069173942,38,38,0,0,0
Forshaga kommun,20.436717786003882,20.436717786003882,46,46,0,0,0
Gagnefs kommun,34.336552001609334,34.336552001609334,62,62,0,0,747
Gällivare kommun,8.475636002428123,8.914574250869158,114,154,28,82,486
Gävle kommun,5.243857637232715,5.243857637232715,43,43,0,0,0
Gislaveds kommun,32.744865826944135,32.75537376779847,52,52,0,0,41
Gnesta kommun,28.512508122157243,28.512508122157243,38,38,0,0,0
Gnosjö kommun,23.864646676452082,23.864646676452082,38,38,0,0,0
Göteborgs kommun,4.306590944743795,4.306590944743795,16,16,0,0,0
Götene kommun,17.43950015239256,26.30699481865285,31,35,0,0,0
Region Gotland,17.110562495638217,17.110562495638217,80,80,0,125,2656
Grästorps kommun,23.382929020664868,23.834321653189576,31,34,0,0,0
Grums kommun,23.154932710488268,23.154932710488268,39,39,0,0,0
Gullspångs kommun,46.939252336448604,54.466510903426794,53,62,0,0,4847
Habo kommun,18.64145988045644,18.64145988045644,39,39,0,0,0
Håbo kommun,29.688613167900744,29.688613167900744,36,36,0,0,0
Hagfors kommun,75.11381765159962,75.17420018869542,98,112,42,3953,11646
Hällefors kommun,50.19398280802292,66.56547277936963,77,89,0,135,6923
Hallsbergs kommun,25.206852482960077,25.239654333008765,47,47,0,0,0
Hallstahammars kommun,19.361332135523618,19.361332135523618,26,26,0,0,0
Halmstads kommun,5.305798556831241,5.305798556831241,32,32,0,0,0
Hammarö kommun,5.0319931877623025,5.0319931877623025,13,13,0,0,0
Haninge kommun,14.12115501794137,14.12115501794137,37,37,0,0,0
Haparanda kommun,41.136030160994494,98.43855716323618,48,104,7069,9814,9814
Härjedalens kommun,112.20945681906996,121.20779601406801,143,160,9173,10236,10236
Härnösands kommun,40.342143142742906,40.46057576969213,57,57,0,0,1212
Härryda kommun,11.047413066681647,11.047413066681647,28,28,0,0,0
Hässleholms kommun,30.804600184635934,30.809117872365498,54,54,0,0,436
Heby kommun,41.427900491670954,41.427900491670954,58,58,0,0,1704
Hedemora kommun,37.74783175741768,37.74783175741768,50,50,0,0,0
Helsingborgs kommun,3.541760835718949,3.541760835718949,19,19,0,0,0
Herrljunga kommun,35.195116633965554,35.203945934161766,43,45,0,0,0
Hjo kommun,27.128205128205128,27.128205128205128,37,37,0,0,0
Hofors kommun,36.54333545242636,36.54333545242636,49,49,0,0,0
Höganäs kommun,18.299620634361922,18.299620634361922,30,30,0,0,0
Högsby kommun,58.47293349372745,58.47293349372745,70,70,0,0,5250
Höörs kommun,31.332376614463094,31.332376614463094,42,42,0,0,0
Hörby kommun,31.79182919318415,31.79182919318415,36,36,0,0,0
Huddinge kommun,5.378976714964465,5.378976714964465,11,11,0,0,0
Hudiksvalls kommun,10.023636707050539,10.023744637219718,60,60,0,0,151
