"Ruta","Pop","X","Y","KNKOD","KNNAMN"
48230004560000,24,755257,7087230,2480,"Ume"
46900004619000,1,627724,7155305,2462,"Vilhelmina"
45220004024000,19,416130,6571741,1761,"Hammar"
45440003670000,9,412234,6216785,1293,"Hssleholm"
46800003689000,9,549144,6226257,1080,"Karlskrona"
48260003829000,8,704726,6355951,980,"Gotland"
44810003902000,175,366317,6452829,1445,"Essunga"
44870004091000,1,386292,6641210,1766,"Sunne"
45210004545000,8,454522,7093075,2309,"Krokom"
46300004058000,10,526105,6598052,1885,"Lindesberg"
44850004002000,2,377680,6552424,1785,"Sffle"
46020004693000,63,546190,7235676,2462,"Vilhelmina"
44350004050000,12,331498,6604020,1765,"rjng"
46560003924000,20,542175,6462420,580,"Linkping"
46370003848000,2,517731,6387882,686,"Eksj"
45290003883000,2,412720,6430425,1499,"Falkping"
46150004391000,21,536034,6932086,2260,"nge"
48220003859000,16,702888,6386165,980,"Gotland"
47050003887000,4,588295,6422093,883,"Vstervik"
45810004511000,25,511407,7054676,2313,"Strmsund"
45640003723000,76,435973,6268259,765,"lmhult"
47040003912000,2,589110,6447118,563,"Valdemarsvik"
46430004151000,10,545908,6690069,2083,"Hedemora"
46440004391000,18,564829,6930051,2260,"nge"
46030004387000,7,523817,6928930,2260,"nge"
48130004566000,11,745774,7093902,2480,"Ume"
47050003834000,3,584466,6369197,882,"Oskarshamn"
48080004088000,38,705500,6615809,188,"Norrtlje"
46470003729000,7,519115,6268446,763,"Tingsryd"
47240004043000,32,618566,6576554,486,"Strngns"
47750004037000,45,668916,6567083,126,"Huddinge"
46590004009000,8,551369,6547085,428,"Vingker"
46290004317000,11,544368,6857045,2161,"Ljusdal"
44740004083000,1,372763,6634158,1784,"Arvika"
45080003652000,2,375062,6201362,1214,"Svalv"
46440004461000,5,570112,7000141,2303,"Ragunda"
45730003796000,1,450212,6340471,683,"Vrnamo"
45500004071000,1,447471,6616695,1782,"Filipstad"
46110003847000,1,491761,6388701,686,"Eksj"
45260003857000,7,407832,6404682,1491,"Ulricehamn"
46010003931000,32,487920,6473255,584,"Vadstena"
45020004079000,2,400317,6628133,1766,"Sunne"
46740004025000,4,567472,6562023,484,"Eskilstuna"
47770004060000,167,672583,6589924,162,"Danderyd"
46480003964000,6,537126,6502914,562,"Finspng"
45770003709000,1,447921,6253378,1273,"Osby"
47970004853000,7,751532,7383123,2510,"Jokkmokk"
45790004048000,2,474621,6591655,1883,"Karlskoga"
46220003929000,29,508683,6469785,586,"Mjlby"
44810003792000,16,358272,6343001,1382,"Falkenberg"
45690003908000,1,454377,6452548,1497,"Hjo"
45740003969000,2,463825,6513103,1473,"Treboda"
46680004034000,52,562160,6571429,484,"Eskilstuna"
47090003908000,6,593801,6442780,563,"Valdemarsvik"
44710003951000,2,359972,6502488,1461,"Mellerud"
44620003911000,15,348061,6463186,1487,"Vnersborg"
46040003704000,118,474468,6246500,1060,"Olofstrm"
44980003736000,29,371147,6285894,1380,"Halmstad"
44550003889000,8,339472,6441719,1462,"Lilla Edet"
45380003724000,2,410138,6271088,767,"Markaryd"
48190004676000,1,759973,7203870,2482,"Skellefte"
45800003841000,9,460448,6384890,680,"Jnkping"
46680003878000,11,550785,6415669,513,"Kinda"
46890003960000,13,577659,6496074,581,"Norrkping"
48250004635000,3,762852,7162331,2482,"Skellefte"
45160003917000,17,402267,6465301,1495,"Skara"
44600003786000,27,336914,6338513,1383,"Varberg"
45140003890000,1,398296,6438483,1466,"Herrljunga"
46260004632000,4,565277,7172785,2462,"Vilhelmina"
49370004811000,19,887171,7332062,2514,"Kalix"
46960004075000,9,593037,6610447,1980,"Vsters"
44160003878000,37,299822,6433556,1419,"Tjrn"
46070004212000,21,514647,6753576,2031,"Rttvik"
47130004201000,51,619233,6735202,2180,"Gvle"
46990004071000,14,595729,6606244,1980,"Vsters"
44840004093000,2,383457,6643427,1766,"Sunne"
48090004081000,6,705986,6608747,117,"sterker"
44950003921000,12,381654,6470798,1494,"Lidkping"
45100003779000,12,386218,6327959,662,"Gislaved"
45680004027000,4,462124,6571457,1862,"Degerfors"
44690003797000,16,346682,6348850,1383,"Varberg"
46340003922000,3,520121,6461957,580,"Linkping"
44220003899000,4,307345,6454096,1421,"Orust"
49190004821000,3,870054,7343224,2514,"Kalix"
47330004004000,11,624682,6536984,480,"Nykping"
44290003961000,6,318901,6515524,1439,"Frgelanda"
45530004433000,2,477678,6978553,2326,"Berg"
46950003723000,7,566526,6259137,834,"Torss"
46860004353000,1,603695,6889100,2132,"Nordanstig"
44480003857000,189,330150,6410267,1480,"Gteborg"
44990003677000,61,367888,6226944,1292,"ngelholm"
46510004676000,2,593419,7215178,2421,"Storuman"
46690004353000,4,586806,6890276,2132,"Nordanstig"
46280003866000,12,510072,6406476,512,"Ydre"
44960004216000,1,404619,6765526,2023,"Malung-Slen"
45330003727000,1,405372,6274434,767,"Markaryd"
47320004134000,10,633199,6666928,380,"Uppsala"
46950004101000,3,593952,6636493,1981,"Sala"
45610003782000,49,437243,6327344,683,"Vrnamo"
45840004128000,5,485522,6671235,2085,"Ludvika"
46410004303000,1,555241,6842198,2161,"Ljusdal"
44960003755000,16,370530,6304999,1380,"Halmstad"
47190003865000,28,600653,6399171,883,"Vstervik"
45430003912000,21,428783,6458384,1499,"Falkping"
46540003967000,304,543319,6505491,562,"Finspng"
46390004656000,2,579998,7195948,2462,"Vilhelmina"
45080003634000,11,373772,6183402,1261,"Kvlinge"
46510003706000,1,521453,6245223,1080,"Karlskrona"
44630003965000,2,353043,6517051,1461,"Mellerud"
47990004665000,211,739304,7194137,2417,"Norsj"
48350003860000,12,715924,6386286,980,"Gotland"
46820003919000,2,567705,6455625,561,"tvidaberg"
45650003669000,14,433091,6214313,1293,"Hssleholm"
47760004570000,2,709339,7100359,2403,"Bjurholm"
44450003927000,23,332315,6480396,1487,"Vnersborg"
45130004041000,14,408435,6589371,1780,"Karlstad"
45650004616000,1,503603,7161073,2313,"Strmsund"
44770003911000,2,362996,6462105,1444,"Grstorp"
45030003996000,6,395150,6545133,1785,"Sffle"
47050004211000,3,612015,6745750,2180,"Gvle"
46780004487000,10,605822,7023822,2283,"Sollefte"
47260004418000,5,648296,6951425,2280,"Hrnsand"
45990003680000,12,467765,6222907,1272,"Bromlla"
45920003977000,1,482330,6519821,1882,"Askersund"
47020003907000,2,586755,6442264,563,"Valdemarsvik"
44480003816000,22,327148,6369327,1384,"Kungsbacka"
46550004035000,15,549294,6573332,484,"Eskilstuna"
44340003900000,21,319369,6454224,1485,"Uddevalla"
47420004140000,17,643592,6672242,360,"Tierp"
46410004167000,10,545105,6706201,2080,"Falun"
46500004108000,64,549692,6646609,1982,"Fagersta"
46530004510000,12,582753,7048599,2283,"Sollefte"
44890003884000,15,372962,6434281,1442,"Vrgrda"
45000004094000,2,399446,6643268,1766,"Sunne"
44840003792000,1,361261,6342787,1382,"Falkenberg"
48100004576000,4,743543,7104127,2480,"Ume"
47980004523000,14,727663,7051781,2401,"Nordmaling"
45500003964000,2,439568,6509812,1473,"Treboda"
47750004082000,6,672197,6612040,115,"Vallentuna"
44310003911000,26,317193,6465429,1485,"Uddevalla"
47010004337000,52,617404,6872056,2132,"Nordanstig"
47630004529000,9,693357,7060125,2284,"rnskldsvik"
45810003600000,292,444112,6144364,1286,"Ystad"
44150003907000,4,300965,6462597,1485,"Uddevalla"
46480004406000,2,569931,6944787,2260,"nge"
46270004037000,32,521574,6577285,1880,"rebro"
46300003680000,2,498662,6220747,1082,"Karlshamn"
46560003849000,2,536730,6387558,884,"Vimmerby"
45460003949000,28,434484,6495117,1493,"Mariestad"
45380003664000,4,405823,6211221,1267,"Hr"
45310004056000,13,427456,6603066,1780,"Karlstad"
47220003877000,3,604509,6410942,883,"Vstervik"
46860003754000,14,559777,6290684,881,"Nybro"
45240003611000,30,388076,6159329,1263,"Svedala"
45190003768000,8,394387,6316341,1315,"Hylte"
44830003901000,14,368235,6451687,1445,"Essunga"
45800004085000,3,478353,6628550,1863,"Hllefors"
48280004103000,1,726516,6629458,188,"Norrtlje"
45500003886000,9,433850,6431929,642,"Mullsj"
47270004025000,1,620239,6558369,461,"Gnesta"
45780003618000,13,442404,6162528,1270,"Tomelilla"
48380004655000,2,777254,7181559,2482,"Skellefte"
44600003889000,13,344451,6441358,1440,"Ale"
48510004624000,10,787842,7149609,2409,"Robertsfors"
47680004077000,32,664861,6607519,191,"Sigtuna"
44470003883000,37,331064,6436304,1462,"Lilla Edet"
46330003918000,6,518834,6458034,586,"Mjlby"
46000004217000,33,508062,6759070,2031,"Rttvik"
46230004014000,63,515902,6554593,1861,"Hallsberg"
45740003733000,1,446658,6277534,765,"lmhult"
46950003718000,21,566169,6254149,834,"Torss"
44670003785000,24,343815,6337014,1383,"Varberg"
44630003940000,6,351195,6492079,1487,"Vnersborg"
45790004068000,3,476100,6611635,1863,"Hllefors"
47610004498000,1,689047,7029192,2284,"rnskldsvik"
46170003872000,13,499552,6413234,604,"Aneby"
46290004625000,1,567714,7165554,2462,"Vilhelmina"
47280004074000,21,624816,6607248,381,"Enkping"
47570004004000,2,648585,6535345,488,"Trosa"
46080004211000,11,515567,6752506,2031,"Rttvik"
47140003855000,19,594949,6389535,883,"Vstervik"
44950003735000,6,368085,6285109,1380,"Halmstad"
45540003814000,2,432590,6359775,617,"Gnosj"
44200003886000,1,304395,6441256,1419,"Tjrn"
45260004106000,77,426201,6653388,1783,"Hagfors"
48130004102000,13,711501,6629463,188,"Norrtlje"
47100003804000,55,587288,6338916,882,"Oskarshamn"
45450003613000,5,409152,6159850,1265,"Sjbo"
47570004188000,17,662049,6719203,360,"Tierp"
47290004068000,4,625373,6601186,381,"Enkping"
46870003825000,18,565881,6361458,882,"Oskarshamn"
46560004067000,25,552640,6605227,1983,"Kping"
46300003866000,6,512064,6406336,512,"Ydre"
45600003713000,2,431268,6258563,765,"lmhult"
44670003894000,31,351789,6445847,1489,"Alingss"
47080003911000,2,593022,6445844,563,"Valdemarsvik"
46850004405000,50,606598,6941219,2281,"Sundsvall"
45500004745000,12,498742,7291594,2421,"Storuman"
45960003833000,7,475804,6375780,682,"Nssj"
46020004477000,18,529648,7019121,2303,"Ragunda"
47590004714000,3,703338,7245966,2505,"Arvidsjaur"
45840003709000,6,454896,6252888,1273,"Osby"
47730004617000,2,709895,7147693,2404,"Vindeln"
46830004114000,24,582967,6650312,1981,"Sala"
46800004243000,2,589529,6779472,2182,"Sderhamn"
47150004002000,8,606611,6536222,480,"Nykping"
45570003957000,13,446022,6502324,1473,"Treboda"
45490003608000,2,412783,6154582,1264,"Skurup"
46910004313000,13,605675,6848730,2184,"Hudiksvall"
44570003963000,18,346923,6515488,1461,"Mellerud"
44260003920000,22,312879,6474783,1485,"Uddevalla"
47850004541000,2,716100,7070686,2401,"Nordmaling"
45430004060000,52,439692,6606204,1780,"Karlstad"
45900004013000,21,482985,6555916,1814,"Lekeberg"
45020003876000,3,385321,6425362,1466,"Herrljunga"
49650004815000,70,915266,7334385,2583,"Haparanda"
46430004017000,3,536029,6556190,1880,"rebro"
47930004062000,1,688665,6590840,187,"Vaxholm"
44980003687000,536,367611,6236993,1292,"ngelholm"
45900003818000,6,468740,6361231,684,"Svsj"
43830003970000,5,273775,6527885,1435,"Tanum"
46640004110000,3,563768,6647633,1981,"Sala"
44980003730000,160,370713,6279906,1380,"Halmstad"
46570004519000,23,587404,7057338,2283,"Sollefte"
45610004075000,1,458711,6619908,1782,"Filipstad"
46990003731000,8,571086,6266842,880,"Kalmar"
44950004046000,5,390897,6595663,1764,"Grums"
45990003859000,4,480680,6401520,682,"Nssj"
46750004154000,8,577960,6690841,2084,"Avesta"
47020004017000,9,594762,6552097,482,"Flen"
48210004557000,82,753046,7084353,2480,"Ume"
44900003675000,3,358774,6225585,1283,"Helsingborg"
47740004586000,5,708556,7116536,2404,"Vindeln"
47160004393000,38,636492,6927077,2281,"Sundsvall"
46690003778000,2,544559,6315806,760,"Uppvidinge"
45420003718000,2,413691,6264819,767,"Markaryd"
45240004113000,4,424734,6660527,1783,"Hagfors"
46180004146000,70,520673,6686824,2082,"Ster"
46840004471000,2,610570,7007381,2283,"Sollefte"
44910004054000,22,387513,6603945,1715,"Kil"
46040003866000,5,486169,6408156,604,"Aneby"
48020004076000,133,698650,6604222,117,"sterker"
46150004505000,1,544675,7046252,2313,"Strmsund"
45510003710000,4,422083,6256202,765,"lmhult"
47000004192000,2,605637,6727098,2180,"Gvle"
45220003639000,8,388085,6187404,1261,"Kvlinge"
47900004046000,45,684512,6575058,182,"Nacka"
45490003823000,2,428263,6369111,617,"Gnosj"
46060003953000,3,494507,6494870,583,"Motala"
46520004454000,23,577523,6992572,2303,"Ragunda"
46030003860000,13,484737,6402237,682,"Nssj"
44430003854000,425,324950,6407632,1480,"Gteborg"
46740004330000,1,590051,6866914,2184,"Hudiksvall"
44440003927000,9,331319,6480469,1487,"Vnersborg"
46640004035000,7,558252,6572706,484,"Eskilstuna"
46580003706000,1,528430,6244738,1080,"Karlskrona"
44500003872000,38,333243,6425102,1440,"Ale"
46530004487000,2,581011,7025556,2283,"Sollefte"
46170004025000,697,510739,6566000,1880,"rebro"
45020003698000,18,372389,6247687,1292,"ngelholm"
46360003947000,7,523937,6486777,580,"Linkping"
46940003884000,10,577119,6419858,883,"Vstervik"
45560004053000,4,452107,6598283,1760,"Storfors"
47260004038000,727,620192,6571423,486,"Strngns"
47250004102000,21,623882,6635430,380,"Uppsala"
45550003638000,24,420906,6184088,1266,"Hrby"
46860003859000,3,567340,6395458,884,"Vimmerby"
46050003776000,15,480646,6318267,780,"Vxj"
45060003906000,17,391503,6455031,1470,"Vara"
46400003948000,44,527992,6487496,580,"Linkping"
45070004198000,12,414197,6746727,2023,"Malung-Slen"
46780003688000,33,547079,6225398,1080,"Karlskrona"
45260004175000,2,431358,6722359,2023,"Malung-Slen"
45850004720000,7,531444,7263983,2421,"Storuman"
46500003805000,4,527573,6344065,685,"Vetlanda"
45620004476000,25,489888,7020972,2380,"stersund"
46510003822000,1,529797,6360960,685,"Vetlanda"
45010003743000,14,374643,6292667,1380,"Halmstad"
45380004247000,6,448693,6793492,2039,"lvdalen"
44870003917000,5,373394,6467378,1470,"Vara"
46040004013000,3,496919,6554929,1814,"Lekeberg"
46790004013000,2,571571,6549692,483,"Katrineholm"
46690004273000,1,580827,6810237,2183,"Bollns"
46880003692000,22,557333,6228697,1080,"Karlskrona"
46690004630000,4,607743,7167783,2462,"Vilhelmina"
44870003736000,22,360186,6286676,1380,"Halmstad"
44280003877000,95,311700,6431687,1415,"Stenungsund"
45730004052000,1,468947,6596076,1883,"Karlskoga"
45870003849000,4,468002,6392382,682,"Nssj"
44840003677000,14,352938,6228006,1284,"Hgans"
46140004029000,37,508048,6570206,1880,"rebro"
45400003883000,2,423673,6429643,1499,"Falkping"
45170003700000,32,387482,6248622,1381,"Laholm"
44600004062000,20,357268,6614188,1784,"Arvika"
46820004008000,8,574192,6544490,483,"Katrineholm"
45470004417000,6,470504,6962963,2326,"Berg"
46540004074000,7,551165,6612360,1983,"Kping"
44870003739000,7,360403,6289670,1380,"Halmstad"
48130003841000,7,692622,6368807,980,"Gotland"
44970003652000,23,364098,6202139,1282,"Landskrona"
45920003728000,5,464234,6271284,765,"lmhult"
47140004109000,5,613448,6643179,331,"Heby"
46790003843000,2,559210,6379974,860,"Hultsfred"
44850003792000,4,362257,6342715,1382,"Falkenberg"
47420004753000,4,689452,7286261,2505,"Arvidsjaur"
45900004076000,3,487635,6618850,1884,"Nora"
45690003734000,11,441748,6278883,765,"lmhult"
46280004116000,7,528397,6656141,2061,"Smedjebacken"
47390004071000,21,635548,6603499,381,"Enkping"
48050004573000,10,738354,7101447,2460,"Vnns"
46830004024000,43,576358,6560401,483,"Katrineholm"
46850004802000,1,636753,7339337,2506,"Arjeplog"
46960003938000,9,583030,6473625,582,"Sderkping"
47160003845000,1,596220,6379417,882,"Oskarshamn"
48310004545000,16,762084,7071667,2480,"Ume"
47230004159000,4,626082,6692531,360,"Tierp"
46590004007000,175,551222,6545088,428,"Vingker"
46290004267000,2,540623,6807028,2121,"Ovanker"
46900004250000,6,599991,6785781,2182,"Sderhamn"
44830003834000,19,363327,6384787,1490,"Bors"
47460004137000,2,647353,6668971,380,"Uppsala"
45250003796000,4,402395,6343862,662,"Gislaved"
45490004334000,18,466187,6879738,2361,"Hrjedalen"
46230003941000,6,510555,6481696,583,"Motala"
46670003967000,1,556263,6504588,581,"Norrkping"
46960003912000,1,581141,6447669,563,"Valdemarsvik"
46880004125000,22,588753,6660958,1981,"Sala"
47610004049000,23,655847,6580021,125,"Eker"
48700004828000,10,821979,7353315,2580,"Lule"
46910004163000,1,594541,6698729,2181,"Sandviken"
46850004065000,10,581355,6601217,1980,"Vsters"
46400004316000,32,555222,6855273,2161,"Ljusdal"
46100004155000,7,513385,6696383,2081,"Borlnge"
47700004136000,55,671169,6666342,382,"sthammar"
47180003884000,1,601030,6418204,883,"Vstervik"
46870004201000,5,593373,6736992,2181,"Sandviken"
45960004118000,3,496715,6660392,2085,"Ludvika"
45880003810000,1,466168,6353388,684,"Svsj"
45450004033000,6,439682,6579087,1781,"Kristinehamn"
45110003918000,5,397363,6466657,1470,"Vara"
44780003909000,14,363845,6460036,1444,"Grstorp"
44690004020000,2,363094,6571565,1785,"Sffle"
46570003715000,25,528078,6253785,1080,"Karlskrona"
46840004004000,12,575891,6540357,483,"Katrineholm"
44340004078000,13,332598,6632079,1730,"Eda"
45640003660000,10,431450,6205405,1290,"Kristianstad"
46240004594000,4,560387,7134820,2425,"Dorotea"
46750004472000,27,601712,7009004,2283,"Sollefte"
46440004197000,29,550316,6735981,2080,"Falun"
46470003911000,2,532266,6450069,513,"Kinda"
45050003843000,20,385896,6392201,1490,"Bors"
46080003701000,5,478240,6243228,1060,"Olofstrm"
45120003807000,15,390245,6355765,1465,"Svenljunga"
46380004019000,7,531199,6558537,1880,"rebro"
47240003768000,11,598656,6302033,885,"Borgholm"
45000003708000,112,371117,6257808,1381,"Laholm"
46630004112000,2,562921,6649701,1981,"Sala"
45890004052000,3,484866,6594943,1884,"Nora"
46590003904000,4,543708,6442246,513,"Kinda"
45960004540000,6,528499,7082668,2313,"Strmsund"
46240004072000,2,521167,6612459,1885,"Lindesberg"
47360004093000,25,634172,6625684,380,"Uppsala"
44460003858000,27,328231,6411410,1480,"Gteborg"
45770003687000,6,446341,6231429,1256,"stra Ginge"
47090004458000,7,634411,6992643,2282,"Kramfors"
46470004000000,11,538764,6538933,562,"Finspng"
45360003646000,6,402540,6193403,1267,"Hr"
46760003858000,3,557306,6395152,884,"Vimmerby"
45440003618000,62,408512,6164908,1265,"Sjbo"
